0000A712
time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-25T19:11:07.320Z,37.5006676,-118.870163,3.78,1.45,md,18,177,0.09498,0.02,nc,nc72685051,2016-08-25T19:12:42.762Z,"18km SSE of Mammoth Lakes, California",earthquake,0.41,0.79,0.14,14,automatic,nc,nc
2016-08-25T19:10:42.200Z,38.8373337,-122.8453369,1.63,1.91,md,29,69,0.007794,0.03,nc,nc72685046,2016-08-25T19:12:18.002Z,"10km W of Cobb, California",earthquake,0.18,0.27,0.09,11,automatic,nc,nc
2016-08-25T19:07:20.200Z,38.3977,-115.9448,0.6,1.5,ml,6,238.82,0.262,,nn,nn00557578,2016-08-25T19:09:08.870Z,"43km ENE of Warm Springs, Nevada",earthquake,,,,,automatic,nn,nn
2016-08-25T18:45:51.720Z,33.054,-116.4258333,5.67,0.87,ml,13,112,0.1467,0.18,ci,ci37671856,2016-08-25T18:51:41.824Z,"17km E of Julian, CA",earthquake,0.47,2.12,0.162,18,automatic,ci,ci
2016-08-25T18:45:45.970Z,34.147,-116.8551667,4.91,1.05,ml,30,59,0.08559,0.2,ci,ci37671848,2016-08-25T18:49:19.704Z,"12km SSE of Big Bear Lake, CA",earthquake,0.31,0.98,0.185,26,automatic,ci,ci
2016-08-25T18:31:51.820Z,37.4643326,-118.8096695,7.39,1.9,md,27,117,0.07379,0.06,nc,nc72685036,2016-08-25T18:50:42.673Z,"25km SE of Mammoth Lakes, California",earthquake,0.24,0.8,0.2,22,automatic,nc,nc
2016-08-25T18:14:21.050Z,33.811,-116.0916667,5.8,0.84,ml,18,115,0.1091,0.21,ci,ci37671808,2016-08-25T18:17:57.038Z,"15km NE of Indio, CA",earthquake,0.57,1.54,0.122,14,automatic,ci,ci
2016-08-25T18:12:16.880Z,38.7589989,-122.8573303,2.93,1.24,md,14,125,0.04101,0.03,nc,nc72685021,2016-08-25T18:13:53.162Z,"9km WSW of The Geysers, California",earthquake,0.52,2.53,0.1,6,automatic,nc,nc
2016-08-25T18:09:43.700Z,35.9568333,-117.6638333,2.48,1,ml,11,58,0.01409,0.18,ci,ci37671792,2016-08-25T18:13:18.433Z,"22km E of Little Lake, CA",earthquake,0.34,0.3,0.145,10,automatic,ci,ci
2016-08-25T17:57:51.000Z,61.1648,-146.8893,5,1.9,ml,,,,0.93,ak,ak13878784,2016-08-25T18:10:48.081Z,"29km W of Valdez, Alaska",earthquake,0.8,0.7,,,automatic,ak,ak
2016-08-25T17:50:23.000Z,60.2812,-142.3532,5,2.1,ml,,,,0.76,ak,ak13878779,2016-08-25T18:01:26.403Z,"24km N of Cape Yakataga, Alaska",earthquake,0.2,0.1,,,automatic,ak,ak
2016-08-25T17:23:04.120Z,34.8521667,-116.973,8.44,2.02,ml,37,39,0.0303,0.17,ci,ci37671720,2016-08-25T17:47:22.491Z,"7km SE of Barstow, CA",earthquake,0.16,0.4,0.15,58,reviewed,ci,ci
2016-08-25T17:22:43.420Z,33.8015,-116.9271667,7.25,0.84,ml,34,88,0.1119,0.18,ci,ci37671712,2016-08-25T17:40:41.365Z,"4km NE of San Jacinto, CA",earthquake,0.24,0.86,0.098,16,reviewed,ci,ci
2016-08-25T17:16:33.000Z,60.334,-150.8791,70,1.8,ml,,,,0.35,ak,ak13878748,2016-08-25T17:36:42.024Z,"19km SSE of Soldotna, Alaska",earthquake,0.4,0.9,,,automatic,ak,ak
2016-08-25T17:04:44.600Z,30.629,137.8993,468.96,5.8,mwb,,53,2.966,0.85,us,us20006ty8,2016-08-25T19:09:36.136Z,"Izu Islands, Japan region",earthquake,6.1,4.9,0.073,18,reviewed,us,us
2016-08-25T17:01:18.100Z,35.9563333,-117.658,3.64,0.66,ml,12,61,0.01044,0.09,ci,ci37671688,2016-08-25T17:24:32.281Z,"22km E of Little Lake, CA",earthquake,0.17,0.29,0.099,4,reviewed,ci,ci
2016-08-25T17:00:00.820Z,35.9565,-117.6586667,3.9,0.62,ml,11,61,0.0109,0.1,ci,ci37671680,2016-08-25T17:21:57.476Z,"22km E of Little Lake, CA",earthquake,0.2,0.35,0.085,3,reviewed,ci,ci
2016-08-25T16:57:35.860Z,35.9565,-117.6598333,3.75,1.16,ml,18,54,0.01151,0.08,ci,ci37671664,2016-08-25T17:19:10.088Z,"22km E of Little Lake, CA",earthquake,0.12,0.21,0.137,6,reviewed,ci,ci
2016-08-25T16:57:11.430Z,35.9581667,-117.6565,3.43,0.83,ml,9,111,0.01139,0.09,ci,ci37381933,2016-08-25T17:17:12.002Z,"23km E of Little Lake, CA",earthquake,0.23,0.4,0.11,5,reviewed,ci,ci
2016-08-25T16:56:57.510Z,35.9566667,-117.6575,2.24,1.4,ml,26,36,0.01048,0.14,ci,ci37671648,2016-08-25T17:13:51.041Z,"22km E of Little Lake, CA",earthquake,0.14,0.16,0.151,21,reviewed,ci,ci
